username,nome,pais,idioma,tipo,seguidores_estimados,descricao,fonte
@pam.mahnic,Pam Mahnic,EUA (Massachusetts),Inglês,Brasileiro no exterior,~34k,"Influencer e Realtor, dicas diárias de lifestyle e vida nos EUA",https://www.tiosam.com/estados-unidos/youtube-conheca-os-influenciadores-que-se-destacam-na-comunidade-brasileira-nos-eua/
@brasileirana_espanha,Emülyn Gomes,Espanha,Espanhol,Brasileiro no exterior,~23k,"Brasileira na Espanha, conteúdo em espanhol às terças, 550k+ views no YouTube",https://www.instagram.com/brasileirana_espanha/
@familiana.espanha,Bia Figueiro,Espanha (Tarragona),Espanhol,Brasileiro no exterior,~22k,"Família brasileira vivendo na Espanha, cotidiano, cultura e rotina",https://www.instagram.com/familiana.espanha/
@louisebelard,Lou,Irlanda (Dublin),Inglês,Brasileiro no exterior,Desconhecido,"Brasileira na Irlanda, stories sobre cotidiano em Dublin",https://www.instagram.com/louisebelard/
@nubiavieiiira_,Núbia Vieira,EUA,Inglês,Brasileiro no exterior,~100k,"Imigrante de MG nos EUA, conteúdo real sobre trabalho e rotina de faxineira na América",https://www.tiosam.com/estados-unidos/youtube-conheca-os-influenciadores-que-se-destacam-na-comunidade-brasileira-nos-eua/
@tanocaminho,Tano Caminho (Thiago e Maurício),Alemanha,Alemão,Brasileiro no exterior,Desconhecido,"Dois jornalistas brasileiros na Alemanha, fotos incríveis e curiosidades culturais",https://blogdointercambio.west1.com.br/os-melhores-perfis-de-instagram-para-inspirar-o-seu-intercambio/
@thiagomelos,Thiago Melos,Alemanha,Alemão,Brasileiro no exterior,Desconhecido,"Jornalista brasileiro na Alemanha, co-criador do @tanocaminho",https://blogdointercambio.west1.com.br/os-melhores-perfis-de-instagram-para-inspirar-o-seu-intercambio/
@rosafilipovic,Rosa Filipovic,Alemanha,Alemão,Brasileiro no exterior,~100k,"Brasileira na Alemanha, conteúdo sobre imigração e vida no país (acima de 50k)",https://www.instagram.com/rosafilipovic/
@_helooassuncao,Heloiza Assunção,Portugal,Inglês/Português,Brasileiro no exterior,~71k,"Brasileira em Portugal há 6+ anos, dicas de rotina, viagens e vida a dois",https://www.instagram.com/_helooassuncao/
@kruelbt,Kruel BT,EUA (Boston),Inglês,Brasileiro no exterior,~24k,"Cantor brasileiro em Boston desde 1994, músicas em plataformas como Spotify",https://www.tiosam.com/estados-unidos/youtube-conheca-os-influenciadores-que-se-destacam-na-comunidade-brasileira-nos-eua/
@amigosnoseua,Amigos nos EUA,EUA (Orlando),Inglês,Brasileiro no exterior,~20k,"Networking de brasileiros nos EUA, eventos educação e conexões em Orlando FL",https://www.instagram.com/amigosnoseua/
@brasileh_canada,Brasil eh!,Canadá,Inglês,Brasileiro no exterior,~6.2k,"Comunidade de brasileiros no Canadá, conteúdo e anúncios para a comunidade",https://www.instagram.com/brasileh_canada/
@rafacsilva,Rafael Silva,EUA (Hollywood),Inglês,Brasileiro no exterior,Desconhecido,"Ator brasileiro-americano, trabalhos em Pequenas Mulheres e Madrinha da Disney",https://www.tiosam.com/estados-unidos/youtube-conheca-os-influenciadores-que-se-destacam-na-comunidade-brasileira-nos-eua/
@jaquelinecostausa,Jaqueline Costa,EUA,Inglês,Brasileiro no exterior,~110k,"Imigrante brasileira nos EUA, conteúdo real sobre trabalho e vida de imigrante",https://www.heraldnews.com/story/news/local/ojornal/2022/09/28/imigrantes-brasileiros-fazem-renda-extra-como-influenciadores-digitais/10453172002/
@brasileirana_irlanda,Brasileira na Irlanda (comunidade),Irlanda,Inglês,Brasileiro no exterior,Desconhecido,"Perfil comunitário de brasileiras na Irlanda, dicas e troca de experiências",https://www.instagram.com/louisebelard/
@talittasuescun,Talitta Suescun,Portugal,Português,Brasileiro no exterior,~132k,"Brasileira em Portugal, conteúdo sobre vida no país (acima de 50k)",https://www.instagram.com/talittasuescun/
@mauriciocancilieri,Maurício Cancilieri,Alemanha,Alemão,Brasileiro no exterior,Desconhecido,"Jornalista brasileiro na Alemanha, co-criador do Tano Caminho",https://blogdointercambio.west1.com.br/os-melhores-perfis-de-instagram-para-inspirar-o-seu-intercambio/
@inglesdegraça,Inglês de Graça,Brasil,Inglês,Professor de idioma,Desconhecido,"Dicas gratuitas de inglês para iniciantes e intermediários no Instagram",https://guiadoestudante.abril.com.br/estudo/10-perfis-no-instagram-para-aprender-ingles/
@euaparabrasileiros,EUA Para Brasileiros,EUA,Inglês,Brasileiro no exterior,~65k,"Dicas e informações para brasileiros que querem ir para os EUA",https://www.instagram.com/euaparabrasileiros/
